date_received,issue_category,channel,company_response,timely_response,consumer_disputed,complaint_id,order_id
2021-11-01,Uninterested Service Rep,Phone Support,Closed without relief,Yes,No,CR0003732,US-2015-159416
2022-05-27,Long wait on hold,Email,Closed with explanation,Yes,No,CR1988571,US-2015-157867
2023-04-30,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR2221342,US-2015-153289
2021-12-01,Lack of Follow Up,Branch,Closed without relief,Yes,No,CR0013328,US-2015-153142
2019-08-22,Long wait on hold,Email,Closed with explanation,Yes,No,CR2090579,US-2015-155966
2022-10-31,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1470490,US-2015-151637
2021-05-28,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR1899878,US-2015-156183
2019-10-12,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1932270,US-2015-159992
2021-12-21,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR0214774,US-2015-157885
2019-08-31,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR2135116,US-2015-154175
2019-10-16,No First Call Resolution,Branch,Closed with explanation,Yes,Yes,CR0373513,US-2015-156155
2022-04-02,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR1708290,US-2015-155159
2019-12-20,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1538323,US-2015-159383
2019-07-20,No First Call Resolution,Phone Support,Closed with explanation,Yes,Yes,CR1433236,US-2015-156280
2020-10-25,Uninterested Service Rep,Phone Support,Closed with monetary relief,Yes,No,CR0853368,US-2015-155473
2019-07-30,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR1804301,US-2015-156443
2023-04-07,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1351216,US-2015-159699
2020-12-25,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,,CR2319809,US-2015-153033
2021-08-08,Uninterested Service Rep,Mobile App,Closed without relief,Yes,Yes,CR0013527,US-2015-160240
2021-04-13,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1722662,US-2015-153397
2019-04-02,No First Call Resolution,Email,Closed with explanation,Yes,No,CR0547876,US-2015-151739
2020-09-20,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1615332,US-2015-150755
2023-10-08,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR1062228,US-2015-151523
2021-09-26,Poor Product or Service,Branch,Closed without relief,Yes,No,CR0043811,US-2015-155403
2021-11-12,No First Call Resolution,Branch,Closed with relief,Yes,No,CR0030939,US-2015-153065
2021-08-13,Lack of Follow Up,Email,Closed with relief,Yes,No,CR0030070,US-2015-154917
2023-04-20,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1936930,US-2015-151306
2023-07-03,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1435238,US-2015-155847
2022-01-21,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1537464,US-2015-151349
2023-03-21,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1627236,US-2015-157273
2021-02-22,Lack of Follow Up,Mobile App,Closed with explanation,Yes,No,CR1723447,US-2015-159093
2020-03-17,New Product or Feature Request,Branch,Closed with relief,Yes,No,CR0034610,US-2015-150684
2021-11-24,Unavailable or Out of Stock Product,Branch,Closed with explanation,Yes,No,CR1470323,US-2015-159032
2022-02-05,Making Customers Repeat Their Problem,Branch,Closed with explanation,Yes,Yes,CR1990253,US-2015-151874
