ScheduleID,RigID,RigType,Contractor,ServiceCompany,Concession,Emirate,WellName,WellType,WellProfile,SpudDate,ReleaseDatePlanned,ReleaseDateActual,DaysPlanned,DaysActual,MoveDaysPlanned,NPTDays,Status,CostPlannedUSD,CostActualUSD,BOPRatingPSI,HoleSizeInches,PlannedTD_m,ReachedTD_m,MudSystem,FromPad,ToPad,Latitude,Longitude
SCH-0006880,RIG-008,Jackup,ADNOC Drilling,Baker Hughes,Lower Zakum,Abu Dhabi Offshore,LZ-0152,Workover,Deviated,2024-06-02,2024-06-23,2024-06-24,21,22,2.1,1.3,Released,1907000,2057700.0,10000,6.125,3635,3728,Water-Based Mud,PAD-251,PAD-153,24.38941,54.00659
SCH-0000526,RIG-048,Jackup,ADNOC Drilling,ADNOC Services,Fateh,Abu Dhabi Offshore,FTH-0588,Appraisal,Deviated,2023-05-29,2023-06-20,2023-06-22,22,24,1.9,2.4,Released,2993100,3616100.0,10000,12.25,2876,3068,Oil-Based Mud,PAD-217,PAD-226,24.5492,53.38725
SCH-0004672,RIG-007,Tender,ADNOC Drilling,Baker Hughes,Upper Zakum,Abu Dhabi Offshore,UZ-3600,Dev,S-curve,2022-09-09,2022-10-15,2022-10-17,36,38,5.1,1.8,Released,8690700,9206100.0,5000,8.5,2654,2967,Water-Based Mud,PAD-220,PAD-307,24.66525,53.07449
SCH-0005881,RIG-024,Land,Shelf Drilling,Schlumberger,SARB,Abu Dhabi Offshore,SARB-7735,Appraisal,Horizontal,2024-10-28,2024-11-28,2024-11-28,31,31,4.2,0.0,Released,3110200,3423200.0,15000,6.125,3012,2933,Water-Based Mud,PAD-116,PAD-086,25.02858,53.63243
SCH-0001928,RIG-016,Land,Shelf Drilling,Baker Hughes,Upper Zakum,Abu Dhabi Offshore,UZ-1391,Exploration,Vertical,2024-01-07,2024-01-27,2024-01-30,20,23,4.3,4.3,Released,2113300,2344600.0,10000,17.5,3212,3275,Water-Based Mud,PAD-183,PAD-125,24.44601,53.28925
SCH-0000682,RIG-011,Tender,Weatherford,Baker Hughes,Bab,Abu Dhabi,BAB-2280,Appraisal,Deviated,2023-12-18,2024-01-19,2024-01-24,32,37,4.5,2.9,Released,6215800,7371800.0,10000,8.5,1967,2071,Water-Based Mud,PAD-190,PAD-272,24.08069,55.23727
SCH-0008247,RIG-005,Land,Nabors,ADNOC Services,SARB,Abu Dhabi Offshore,SARB-0127,Dev,Vertical,2025-03-06,2025-03-26,2025-03-30,20,24,5.0,4.2,Released,1580100,1950300.0,10000,8.5,3305,3613,Water-Based Mud,PAD-269,PAD-136,24.33128,53.19681
SCH-0006359,RIG-055,Jackup,Shelf Drilling,Baker Hughes,Bu Hasa,Abu Dhabi,BUH-6018,Sidetrack,Vertical,2022-05-09,2022-06-11,2022-06-11,33,33,3.2,0.0,Released,3487100,3885200.0,5000,12.25,2499,2497,Water-Based Mud,PAD-163,PAD-032,23.8537,53.93903
SCH-0006913,RIG-059,Land,KCA Deutag,Halliburton,Lower Zakum,Abu Dhabi Offshore,LZ-2987,Exploration,Horizontal,2024-03-23,2024-04-20,2024-04-21,28,29,2.9,0.7,Released,3660400,3651700.0,15000,8.5,2467,2651,Oil-Based Mud,PAD-137,PAD-125,24.57683,53.704
SCH-0004387,RIG-038,Land,KCA Deutag,Weatherford,Fateh,Abu Dhabi Offshore,FTH-5008,Dev,Horizontal,2022-11-16,2022-12-12,2022-12-15,26,29,2.1,5.1,Released,2715100,3176400.0,10000,8.5,1231,1155,Synthetic-Based Mud,PAD-339,PAD-001,24.69592,53.64466
