JobID,Failure_90d,Field,FormationType,CompletionType,ESP_Model,OilRate_bpd,WaterCut_frac,GasOilRatio_scf_bbl,IntakePressure_psia,DischargePressure_psia,THP_psia,WellheadTemp_C,MotorTemp_C,Vibration_RMS,Power_kW,DriveFrequency_Hz,RunTimeSincePull_days,SandRate_mgL,ScaleInhibitor_ppm,CorrosionInhibitor_ppm,ChokeSize_in,TubingID_in,Fail_Prob_Internal,kW_per_bbl,DP_Margin_psia
ESPJOB-0015158,0,Lower Zakum,Carbonate,Smart,ESP-675,2768.5,0.7592,381.8,874.6,4567.5,986.4,80.0,135.9,5.647,381.8,59.98,208.8,22.11,50.1,31.0,0.5,4.5,0.2905,0.1379,3692.9
ESPJOB-0015126,0,Bu Hasa,Carbonate,Single-Stage,ESP-562,2247.3,0.3537,348.5,720.9,2990.9,394.8,60.1,112.7,2.304,368.7,48.15,387.8,40.91,0.7,17.6,1.0,2.375,0.1869,0.1641,2270.0
ESPJOB-0012494,0,Upper Zakum,Sandstone,Single-Stage,ESP-562,2534.0,0.2971,421.2,840.6,4587.5,774.3,65.7,125.6,4.03,357.1,57.8,363.5,28.46,63.7,23.7,1.0,2.375,0.2682,0.1409,3746.8
ESPJOB-0004832,0,Bab,Carbonate,Single-Stage,ESP-562,2346.3,0.4849,218.2,726.0,3079.8,550.9,73.4,121.0,3.79,307.4,50.75,41.5,9.38,0.7,3.1,1.5,4.5,0.1379,0.131,2353.8
ESPJOB-0019694,0,Bu Hasa,Shale,Multi-Stage,ESP-400,3153.3,0.4997,1850.2,792.1,2497.1,473.1,75.4,136.2,4.928,381.6,70.0,246.6,4.5,10.2,30.6,0.75,2.875,0.3327,0.121,1705.0
ESPJOB-0009501,0,Bab,Carbonate,Multi-Stage,ESP-538,1484.3,0.4413,396.5,875.2,3040.6,634.5,63.1,109.8,4.004,190.3,53.65,16.6,5.18,49.0,14.0,0.75,3.5,0.1601,0.1282,2165.4
ESPJOB-0017908,0,Bu Hasa,Carbonate,Single-Stage,ESP-562,3075.1,0.1308,77.4,688.2,3350.3,600.3,80.1,128.8,3.3,362.8,70.0,233.3,43.85,2.6,14.9,1.25,3.5,0.0892,0.118,2662.1
ESPJOB-0008739,1,Upper Zakum,Carbonate,Single-Stage,ESP-675,2927.2,0.5183,325.9,552.3,2741.5,520.5,71.4,140.3,3.277,384.9,70.0,130.4,11.51,26.7,37.7,0.75,3.5,0.2552,0.1315,2189.2
ESPJOB-0012785,0,Lower Zakum,Sandstone,Single-Stage,ESP-538,1475.6,0.2581,285.5,1156.3,4181.9,843.5,67.7,90.3,3.132,284.7,41.0,14.8,52.14,20.2,14.1,1.0,4.5,0.1306,0.1929,3025.6
ESPJOB-0014307,0,Bu Hasa,Carbonate,Smart,ESP-538,1870.0,0.3835,1006.5,1001.8,3624.2,810.8,63.5,100.6,3.197,230.3,37.18,306.4,25.06,13.0,14.0,1.0,2.375,0.2184,0.1231,2622.4
