JobID,Failure_90d,Field,FormationType,CompletionType,ESP_Model,OilRate_bpd,WaterCut_frac,GasOilRatio_scf_bbl,IntakePressure_psia,DischargePressure_psia,THP_psia,WellheadTemp_C,MotorTemp_C,Vibration_RMS,Power_kW,DriveFrequency_Hz,RunTimeSincePull_days,SandRate_mgL,ScaleInhibitor_ppm,CorrosionInhibitor_ppm,ChokeSize_in,TubingID_in,Fail_Prob_Internal,kW_per_bbl,DP_Margin_psia
ESPJOB-0000566,0,Upper Zakum,Sandstone,Single-Stage,ESP-538,3374.8,0.9467,308.4,952.9,3527.3,820.7,70.4,156.7,4.518,491.5,58.12,201.2,16.03,3.1,17.6,1.0,3.5,0.2418,0.1456,2574.4
ESPJOB-0000691,1,Bu Hasa,Carbonate,Multi-Stage,ESP-400,1867.8,0.6771,676.8,563.9,2609.8,563.5,58.7,105.4,4.642,259.6,57.36,134.3,84.59,28.4,1.2,1.25,3.5,0.5285,0.139,2045.9
ESPJOB-0000637,0,SARB,Carbonate,Single-Stage,ESP-538,880.2,0.6413,771.1,845.8,3874.8,511.1,67.9,99.6,2.549,144.5,49.33,402.3,4.08,68.0,22.0,1.25,2.875,0.1528,0.1642,3029.0
ESPJOB-0000044,0,Upper Zakum,Carbonate,Multi-Stage,ESP-562,1876.5,0.6459,296.7,782.6,3730.8,530.6,72.4,101.6,5.715,298.6,55.86,386.3,7.12,13.0,43.5,1.0,3.5,0.1704,0.1591,2948.2
ESPJOB-0000721,0,Bab,Sandstone,Multi-Stage,ESP-538,4133.7,0.4523,224.8,915.8,3306.3,540.9,77.3,153.8,5.942,546.2,50.54,187.2,26.64,27.7,42.8,1.25,4.5,0.2256,0.1321,2390.5
ESPJOB-0000347,0,Upper Zakum,Sandstone,Multi-Stage,ESP-538,3381.3,0.3189,944.3,878.3,4000.2,787.3,83.7,143.2,3.984,426.6,44.53,545.2,15.6,69.9,21.6,0.75,2.375,0.3665,0.1262,3121.9
ESPJOB-0000150,0,Bu Hasa,Carbonate,Single-Stage,ESP-562,1537.6,0.1867,285.3,989.3,2845.2,510.4,52.5,109.8,3.751,232.0,57.24,5.5,34.45,43.5,39.9,1.0,2.375,0.084,0.1509,1855.9
ESPJOB-0000377,1,Lower Zakum,Carbonate,Multi-Stage,ESP-400,4003.2,0.6803,203.2,856.2,3069.0,445.5,65.7,158.7,5.094,466.7,59.78,554.8,34.28,18.9,11.4,0.5,2.875,0.2739,0.1166,2212.8
ESPJOB-0000606,0,Upper Zakum,Carbonate,Single-Stage,ESP-538,2068.9,0.5751,928.7,867.5,3236.7,637.3,81.1,120.2,3.045,263.2,51.48,279.9,6.44,38.4,19.0,0.75,4.5,0.2577,0.1272,2369.2
ESPJOB-0000437,0,Bab,Carbonate,Single-Stage,ESP-562,1097.9,0.4075,421.0,1154.0,4340.8,879.1,59.4,90.0,2.752,212.1,62.93,292.9,18.88,72.9,23.4,1.5,2.875,0.1504,0.1932,3186.8
ESPJOB-0000612,0,Fateh,Carbonate,Single-Stage,ESP-562,3458.1,0.548,384.2,1317.4,3237.3,552.5,89.4,133.7,4.923,423.4,47.67,330.0,21.59,31.5,19.9,0.75,3.5,0.1866,0.1224,1919.9
ESPJOB-0000073,0,Bu Hasa,Sandstone,Single-Stage,ESP-562,2233.0,0.6915,1538.8,442.6,3139.2,707.2,71.0,121.8,5.699,317.1,59.37,215.9,6.23,9.7,50.6,1.25,3.5,0.5339,0.142,2696.6
ESPJOB-0000268,0,Bu Hasa,Sandstone,Single-Stage,ESP-562,1850.9,0.3802,500.3,927.0,3525.6,656.4,78.2,105.4,3.932,274.7,50.86,125.9,5.93,39.5,11.7,1.0,2.375,0.1991,0.1484,2598.6
ESPJOB-0000758,1,Bu Hasa,Carbonate,Single-Stage,ESP-538,2520.0,0.2711,568.7,522.8,3039.0,716.9,86.6,123.2,3.858,353.1,67.23,90.6,27.03,16.9,11.3,1.0,2.875,0.3016,0.1401,2516.2
ESPJOB-0000870,0,Lower Zakum,Shale,Smart,ESP-400,3353.4,0.529,500.4,780.6,3003.7,521.7,70.5,144.2,4.924,466.5,58.56,76.9,17.1,15.0,9.2,1.0,3.5,0.4213,0.1391,2223.1
