JobID,Frac_Outcome,ProppantType,ProppantVolume_ton,FluidType,PadVolume_m3,ReservoirDepth_m,Porosity_frac,Permeability_mD,LateralLength_m,PumpingRate_bpm,InjectionPressure_psi,StageCount,SlurryRate_bpm,WellAge_years,PreviousStimulations,FormationType,Frac_Success_Prob
JOB-0024156,1,White Sand,331.1,Slickwater,788.0,3601.3,0.136,1.527,1807.7,30.0,4965,33,27.9,4.04,0,Sandstone,0.455
JOB-0024699,1,White Sand,415.1,Hybrid,882.3,3588.3,0.19,0.816,1716.2,49.7,5557,29,47.6,5.91,0,Shale,0.5504
JOB-0016395,1,Brown Sand,459.7,Crosslinked Gel,587.3,3233.1,0.1245,1.029,2154.1,52.9,4383,35,54.5,0.0,0,Shale,0.819
JOB-0016984,1,Resin-Coated Sand,319.1,Crosslinked Gel,839.3,2824.9,0.1757,8.157,1505.4,34.4,4670,26,31.8,2.8,1,Shale,0.8638
JOB-0020556,1,Brown Sand,393.8,Slickwater,802.8,3096.9,0.1362,1.247,2261.3,61.2,4337,34,59.7,3.13,0,Sandstone,0.8176
JOB-0024811,1,Brown Sand,475.1,Slickwater,1556.7,3054.3,0.1725,0.64,3313.3,48.7,4471,53,52.2,1.44,0,Sandstone,0.9376
JOB-0022817,1,Ceramic,515.2,Slickwater,1320.0,2972.6,0.1399,8.639,2958.9,45.1,4765,46,39.6,2.76,0,Sandstone,0.9414
JOB-0015769,0,Ceramic,517.9,Slickwater,991.1,3734.3,0.0469,1.713,2828.1,28.9,5238,41,34.8,0.76,0,Sandstone,0.4657
JOB-0023101,1,Resin-Coated Sand,401.7,Slickwater,1111.2,3016.3,0.1286,4.151,2051.3,22.3,4952,35,21.4,0.41,0,Carbonate,0.6339
JOB-0004649,1,White Sand,478.5,Hybrid,965.6,2535.8,0.1256,0.251,2331.4,35.7,3662,40,40.6,3.93,0,Sandstone,0.5302
JOB-0003596,0,Ceramic,512.6,Hybrid,1342.4,4718.0,0.0886,1.044,2142.6,26.0,5790,41,30.1,6.68,0,Carbonate,0.2082
JOB-0001978,1,Resin-Coated Sand,422.7,Slickwater,448.3,2878.3,0.1565,0.525,1979.5,64.0,4654,24,57.7,5.43,0,Carbonate,0.6724
JOB-0014077,0,Brown Sand,382.6,Crosslinked Gel,679.8,2937.9,0.2485,1.484,1462.7,42.9,5561,23,44.4,4.0,0,Carbonate,0.8469
JOB-0016285,0,White Sand,181.2,Slickwater,351.9,2940.9,0.1537,2.42,913.3,39.5,4802,16,46.7,3.2,0,Sandstone,0.6029
JOB-0007289,1,Resin-Coated Sand,597.4,Slickwater,1498.3,2790.0,0.1931,0.452,3254.9,43.5,4773,53,41.1,0.0,0,Sandstone,0.9785
JOB-0008206,0,Brown Sand,233.5,Hybrid,701.0,3585.9,0.0694,1.942,1574.6,65.4,4986,24,67.2,3.0,0,Carbonate,0.2723
