JobID,Frac_Outcome,ProppantType,ProppantVolume_ton,FluidType,PadVolume_m3,ReservoirDepth_m,Porosity_frac,Permeability_mD,LateralLength_m,PumpingRate_bpm,InjectionPressure_psi,StageCount,SlurryRate_bpm,WellAge_years,PreviousStimulations,FormationType,Frac_Success_Prob
JOB-0000566,1,White Sand,319.6,Hybrid,483.3,3067.8,0.1456,3.897,2173.3,36.1,5544,35,41.0,1.69,0,Shale,0.6451
JOB-0000691,1,White Sand,373.4,Slickwater,652.9,3501.4,0.1161,1.058,1632.2,42.2,5749,25,44.9,4.87,0,Carbonate,0.2806
JOB-0000637,1,Brown Sand,623.6,Hybrid,1366.0,3011.9,0.1723,9.511,2834.8,44.2,5071,51,46.0,2.08,1,Carbonate,0.9791
JOB-0000044,1,Brown Sand,366.7,Crosslinked Gel,437.0,1659.0,0.1092,3.139,1967.2,22.4,3512,31,14.5,1.44,0,Carbonate,0.1694
JOB-0000721,1,Brown Sand,326.3,Slickwater,715.3,2948.1,0.1234,3.512,1764.2,36.3,4276,31,36.1,2.13,0,Sandstone,0.4289
JOB-0000347,0,Brown Sand,360.1,Slickwater,550.6,2392.1,0.1196,0.649,1866.2,46.8,4494,34,49.2,5.81,1,Sandstone,0.2793
JOB-0000150,1,White Sand,364.6,Slickwater,1142.4,2342.3,0.201,3.471,2138.8,44.1,4346,37,47.3,2.01,0,Carbonate,0.9412
JOB-0000377,0,Brown Sand,332.5,Hybrid,1558.3,2881.9,0.1281,0.331,2523.7,50.3,4515,45,51.5,4.7,0,Carbonate,0.616
JOB-0000606,1,Resin-Coated Sand,691.7,Hybrid,848.5,2974.8,0.0866,1.577,2999.6,50.8,4817,52,52.7,2.3,0,Sandstone,0.9032
JOB-0000437,1,Resin-Coated Sand,581.9,Slickwater,1076.9,2207.2,0.0867,0.424,2300.0,50.5,4255,37,42.7,4.35,0,Sandstone,0.7077
JOB-0000612,0,White Sand,370.8,Slickwater,1034.8,3191.4,0.1494,0.533,1753.9,38.6,4666,33,38.9,4.91,0,Sandstone,0.5256
JOB-0000073,1,White Sand,463.0,Crosslinked Gel,648.9,3103.7,0.1073,0.166,2279.1,42.3,4856,33,39.7,2.89,1,Shale,0.3036
JOB-0000268,1,Resin-Coated Sand,420.9,Slickwater,1514.4,3847.4,0.0728,3.943,2240.3,38.1,5904,41,44.3,1.72,0,Carbonate,0.7118
JOB-0000758,0,White Sand,378.5,Crosslinked Gel,770.8,2257.7,0.1639,0.6,1903.4,48.5,4429,35,47.2,4.96,0,Sandstone,0.6971
JOB-0000870,0,Ceramic,173.7,Crosslinked Gel,371.0,2609.1,0.1488,4.888,1053.1,48.4,3977,17,44.0,3.45,1,Carbonate,0.3388
JOB-0000647,1,Brown Sand,500.2,Crosslinked Gel,1150.5,2501.6,0.1614,3.225,2418.0,47.0,4160,39,41.9,3.06,0,Carbonate,0.8974
JOB-0000963,1,Brown Sand,344.2,Slickwater,1059.3,2283.4,0.1829,3.523,1916.4,31.6,4556,29,28.5,0.63,1,Carbonate,0.7613
JOB-0000314,1,Brown Sand,336.7,Hybrid,713.3,2394.9,0.1535,6.242,2144.2,34.5,4345,30,42.2,3.5,1,Sandstone,0.7483
JOB-0000502,1,Resin-Coated Sand,279.0,Crosslinked Gel,628.4,3349.3,0.1685,27.578,1907.6,41.2,5434,35,37.2,0.66,1,Carbonate,0.9047
JOB-0000877,1,Resin-Coated Sand,591.2,Crosslinked Gel,872.9,2549.4,0.1637,0.471,2963.8,43.4,4318,43,38.7,2.58,1,Carbonate,0.8394
JOB-0000765,1,Ceramic,623.2,Crosslinked Gel,1322.1,2643.9,0.1532,4.519,2981.0,44.3,4559,44,47.1,5.9,0,Sandstone,0.9596
JOB-0000444,1,Brown Sand,339.3,Crosslinked Gel,1108.2,2690.3,0.1388,2.57,2496.7,24.8,3859,42,19.6,2.73,0,Carbonate,0.5865
JOB-0000906,0,Resin-Coated Sand,332.3,Slickwater,631.3,2571.6,0.1008,6.548,1394.7,38.9,5027,20,35.1,2.09,0,Sandstone,0.5084
JOB-0000308,0,White Sand,524.8,Slickwater,1632.0,3433.7,0.0443,0.997,2820.4,40.8,4940,48,42.0,8.05,1,Carbonate,0.205
JOB-0000220,0,Brown Sand,321.7,Hybrid,388.1,2762.7,0.1254,0.9,1615.0,23.8,4233,27,19.7,6.02,0,Sandstone,0.0993
JOB-0000173,1,White Sand,515.9,Slickwater,739.7,2397.1,0.1153,0.367,2405.5,31.0,4680,42,32.9,2.55,0,Shale,0.4225
JOB-0000667,1,Ceramic,376.6,Hybrid,765.3,2866.6,0.0584,1.308,1712.2,49.4,5104,29,56.2,3.04,1,Shale,0.1942
JOB-0000681,1,Resin-Coated Sand,439.0,Slickwater,1268.3,3618.6,0.1944,4.137,2078.5,39.5,5873,34,44.6,5.51,0,Shale,0.9181
JOB-0000188,1,Brown Sand,373.4,Slickwater,1086.3,2454.6,0.1565,2.02,2696.9,52.2,3884,46,54.1,4.98,1,Sandstone,0.9035
JOB-0000035,0,Brown Sand,338.3,Slickwater,1080.1,3467.4,0.0696,3.489,1975.8,46.6,4446,31,44.0,1.43,0,Sandstone,0.5672
