date_received,issue category,channel,company_response,timely_response,consumer_disputed,complaint_id,order_id
01 November 2021,Uninterested Service Rep,Phone Support,Closed without relief,Yes,No,CR0003732,US-2015-159416
27 May 2022,Long wait on hold,Email,Closed with explanation,Yes,No,CR1988571,US-2015-157867
30 April 2023,Lack of Follow Up,Branch,Closed with monetary relief,Yes,No,CR2221342,US-2015-153289
01 December 2021,Lack of Follow Up,Branch,Closed without relief,Yes,No,CR0013328,US-2015-153142
22 August 2019,Long wait on hold,Email,Closed with explanation,Yes,No,CR2090579,US-2015-155966
31 October 2022,Poor Product or Service,Mobile App,Closed with explanation,Yes,Yes,CR1470490,US-2015-151637
28 May 2021,Lack of Follow Up,Branch,Closed with explanation,Yes,No,CR1899878,US-2015-156183
12 October 2019,Uninterested Service Rep,Phone Support,Closed with explanation,Yes,No,CR1932270,US-2015-159992
21 December 2021,Lack of Follow Up,Phone Support,Closed with explanation,Yes,Yes,CR0214774,US-2015-157885
31 August 2019,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,Yes,No,CR2135116,US-2015-154175
16 October 2019,No First Call Resolution,Branch,Closed with explanation,Yes,Yes,CR0373513,US-2015-156155
02 April 2022,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,Yes,No,CR1708290,US-2015-155159
20 December 2019,Making Customers Repeat Their Problem,Email,Closed with explanation,Yes,No,CR1538323,US-2015-159383
20 July 2019,No First Call Resolution,Phone Support,Closed with explanation,Yes,Yes,CR1433236,US-2015-156280
25 October 2020,Uninterested Service Rep,Phone Support,Closed with monetary relief,Yes,No,CR0853368,US-2015-155473
30 July 2019,Uninterested Service Rep,Mobile App,Closed with explanation,Yes,No,CR1804301,US-2015-156443
07 April 2023,No First Call Resolution,Phone Support,Closed with explanation,Yes,No,CR1351216,US-2015-159699
25 December 2020,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,,CR2319809,US-2015-153033
08 August 2021,Uninterested Service Rep,Mobile App,Closed without relief,Yes,Yes,CR0013527,US-2015-160240
13 April 2021,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,Yes,No,CR1722662,US-2015-153397
02 April 2019,No First Call Resolution,Email,Closed with explanation,Yes,No,CR0547876,US-2015-151739
20 September 2020,Unavailable or Out of Stock Product,Email,Closed with explanation,Yes,No,CR1615332,US-2015-150755
08 October 2023,New Product or Feature Request,Branch,Closed with explanation,Yes,No,CR1062228,US-2015-151523
26 September 2021,Poor Product or Service,Branch,Closed without relief,Yes,No,CR0043811,US-2015-155403
12 November 2021,No First Call Resolution,Branch,Closed with relief,Yes,No,CR0030939,US-2015-153065
13 August 2021,Lack of Follow Up,Email,Closed with relief,Yes,No,CR0030070,US-2015-154917
