Order ID,Client ID,Enquiry Date,Order Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-153407,C00000065,"Tuesday, July 27, 2021","Wednesday, January 1, 2020",Standard Class,Corporate,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,,2.4824
US-2015-156816,C00000386,"Tuesday, March 17, 2020","Wednesday, January 1, 2020",Standard Class,Corporate,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,6.528,4,0.7,-4.5696
US-2015-159785,C00000372,"Monday, June 29, 2020","Wednesday, January 1, 2020",Same Day,Corporate,TEC-MA-10004552,Technology,Machines,Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8,4,,269.308
US-2015-152704,C00000060,"Friday, November 17, 2023","Thursday, January 2, 2020",Same Day,Consumer,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,13.428,3,0.7,-11.19
US-2015-154483,C00000915,"Tuesday, September 29, 2020","Thursday, January 2, 2020",Standard Class,Consumer,OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,272.4,5,,76.272
US-2015-155841,C00000382,"Saturday, July 8, 2023","Thursday, January 2, 2020",Standard Class,Corporate,TEC-PH-10004071,Technology,Phones,PayAnywhere Card Reader,15.984,2,0.2,1.3986
US-2015-157510,C00000143,"Wednesday, July 27, 2022","Thursday, January 2, 2020",Standard Class,Home Office,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,154.764,3,0.4,-36.1116
US-2015-153169,C00000830,"Thursday, June 29, 2023","Friday, January 3, 2020",Same Day,Consumer,OFF-ST-10001172,Office Supplies,Storage,"Tennsco Lockers, Sand",33.568,2,0.2,1.6784
US-2015-153834,C00000759,"Monday, October 31, 2022","Friday, January 3, 2020",Second Class,Consumer,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",383.607,9,0.3,-5.4801
US-2015-159928,C00000262,"Sunday, January 12, 2020","Friday, January 3, 2020",First Class,Corporate,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,4.992,3,0.2,1.3728
US-2015-151392,C00000852,"Wednesday, September 6, 2023","Saturday, January 4, 2020",Standard Class,Consumer,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,,2400.9657
US-2015-154485,C00000557,"Sunday, October 17, 2021","Saturday, January 4, 2020",Second Class,Corporate,OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",22.32,3,,5.58
US-2015-156012,C00001030,"Friday, May 14, 2021","Saturday, January 4, 2020",Standard Class,Corporate,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,4,,122.3856
US-2015-157046,C00000684,"Tuesday, March 3, 2020","Saturday, January 4, 2020",Standard Class,Home Office,OFF-AR-10003770,Office Supplies,Art,Newell 340,17.28,6,,5.0112
US-2015-158209,C00000721,"Saturday, June 3, 2023","Saturday, January 4, 2020",Second Class,Corporate,OFF-PA-10001363,Office Supplies,Paper,Xerox 1933,85.96,7,,40.4012
US-2015-158402,C00000100,"Monday, June 1, 2020","Saturday, January 4, 2020",Same Day,Consumer,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,223.96,5,0.2,11.198
US-2015-159198,C00001016,"Sunday, January 9, 2022","Saturday, January 4, 2020",Standard Class,Consumer,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,62.94,3,,11.9586
US-2015-159908,C00000212,"Thursday, April 29, 2021","Saturday, January 4, 2020",Second Class,Consumer,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,,2.19
US-2015-152187,C00001050,"Wednesday, July 13, 2022","Sunday, January 5, 2020",Second Class,Consumer,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,14.368,4,0.2,4.49
US-2015-152625,C00000189,"Friday, August 19, 2022","Sunday, January 5, 2020",Second Class,Corporate,FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",247.44,8,,101.4504
US-2015-153040,C00001046,"Monday, April 27, 2020","Sunday, January 5, 2020",First Class,Consumer,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",8.96,2,,2.7776
US-2015-153713,C00000081,"Friday, July 17, 2020","Sunday, January 5, 2020",Standard Class,Consumer,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,272.646,3,0.1,18.1764
US-2015-155215,C00000193,"Saturday, September 18, 2021","Sunday, January 5, 2020",Second Class,Corporate,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",182.67,3,,52.9743
US-2015-155730,C00000087,"Tuesday, May 30, 2023","Sunday, January 5, 2020",Standard Class,Consumer,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,49.44,3,,24.2256
US-2015-159985,C00000040,"Friday, September 1, 2023","Sunday, January 5, 2020",Standard Class,Consumer,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1676.88,6,,83.844
US-2015-150737,C00000767,"Monday, August 7, 2023","Monday, January 6, 2020",Standard Class,Home Office,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983,2,0.15,16.7986
US-2015-151354,C00000211,"Saturday, March 26, 2022","Monday, January 6, 2020",Standard Class,Consumer,OFF-SU-10003505,Office Supplies,Supplies,Premier Electric Letter Opener,185.376,2,0.2,-34.758
US-2015-153519,C00000788,"Thursday, October 19, 2023","Monday, January 6, 2020",Standard Class,Consumer,TEC-PH-10001079,Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,118.99,1,,33.3172
US-2015-154527,C00000569,"Saturday, December 5, 2020","Monday, January 6, 2020",Standard Class,Consumer,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,32.088,7,0.2,11.2308
US-2015-156238,C00000791,"Saturday, September 11, 2021","Monday, January 6, 2020",Standard Class,Consumer,TEC-MA-10004626,Technology,Machines,Lexmark 20R1285 X6650 Wireless All-in-One Printer,480,4,,225.6
US-2015-158600,C00000290,"Wednesday, August 2, 2023","Monday, January 6, 2020",Standard Class,Corporate,OFF-AR-10000940,Office Supplies,Art,Newell 343,16.464,7,0.2,1.4406
US-2015-158716,C00000351,"Friday, September 16, 2022","Monday, January 6, 2020",Standard Class,Home Office,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,222.384,2,0.2,16.6788
US-2015-159314,C00000147,"Sunday, January 24, 2021","Monday, January 6, 2020",Standard Class,Consumer,FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",363.92,5,0.2,0
US-2015-159325,C00000103,"Tuesday, August 3, 2021","Monday, January 6, 2020",Same Day,Home Office,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,4.144,4,0.8,-6.4232
US-2015-159867,C00000833,"Saturday, October 3, 2020","Monday, January 6, 2020",Standard Class,Home Office,OFF-PA-10004609,Office Supplies,Paper,Xerox 221,6.48,1,,3.1104
US-2015-160457,C00000918,"Wednesday, October 6, 2021","Monday, January 6, 2020",First Class,Consumer,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,17.43,1,0.7,-13.363
US-2015-160458,C00000316,"Thursday, May 26, 2022","Monday, January 6, 2020",First Class,Consumer,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,161.568,2,0.2,-8.0784
US-2015-151577,C00000897,"Monday, January 6, 2020","Tuesday, January 7, 2020",Standard Class,Corporate,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255
US-2015-152918,C00000424,"Monday, December 4, 2023","Tuesday, January 7, 2020",Standard Class,Corporate,OFF-SU-10004261,Office Supplies,Supplies,"Fiskars 8"" Scissors, 2/Pack",41.376,3,0.2,4.6548
US-2015-155834,C00000827,"Monday, May 2, 2022","Tuesday, January 7, 2020",Second Class,Consumer,FUR-FU-10003919,Furniture,Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,32.712,2,0.6,-26.1696
US-2015-159100,C00000787,"Tuesday, August 23, 2022","Tuesday, January 7, 2020",Standard Class,Corporate,OFF-AR-10001860,Office Supplies,Art,BIC Liqua Brite Liner,34.7,5,,12.492
US-2015-159935,C00000217,"Monday, October 3, 2022","Tuesday, January 7, 2020",Standard Class,Consumer,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,15.224,2,0.8,-38.8212
US-2015-150703,C00000003,"Wednesday, June 3, 2020","Wednesday, January 8, 2020",Standard Class,Consumer,OFF-PA-10000726,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",9.11,1,,4.0995
US-2015-151541,C00000716,"Saturday, September 23, 2023","Wednesday, January 8, 2020",First Class,Home Office,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48,1,,26.6304
US-2015-152169,C00000721,"Tuesday, April 26, 2022","Wednesday, January 8, 2020",First Class,Consumer,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,210.008,1,0.2,2.6251
US-2015-154914,C00000128,"Friday, December 4, 2020","Wednesday, January 8, 2020",First Class,Home Office,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
