date_received,issue category,channel,company_response,resolved_date,timely_response,consumer_disputed,complaint_id,order_id
"Tuesday, January 5, 2021",Uninterested Service Rep,Phone Support,Closed without relief,"Monday, January 11, 2021",TRUE,FALSE,CR0003732,US-2015-159416
"Thursday, September 17, 2020",Long wait on hold,Email,Closed with explanation,"Saturday, September 19, 2020",TRUE,FALSE,CR1988571,US-2015-157867
"Saturday, August 7, 2021",Lack of Follow Up,Branch,Closed with monetary relief,"Friday, August 13, 2021",TRUE,FALSE,CR2221342,US-2015-153289
"Tuesday, July 26, 2022",Lack of Follow Up,Branch,Closed without relief,"Sunday, July 31, 2022",TRUE,FALSE,CR0013328,US-2015-153142
"Friday, November 3, 2023",Long wait on hold,Email,Closed with explanation,"Friday, November 10, 2023",TRUE,FALSE,CR2090579,US-2015-155966
"Monday, May 16, 2022",Poor Product or Service,Mobile App,Closed with explanation,"Friday, May 20, 2022",TRUE,TRUE,CR1470490,US-2015-151637
"Wednesday, November 23, 2022",Lack of Follow Up,Branch,Closed with explanation,"Friday, November 25, 2022",TRUE,FALSE,CR1899878,US-2015-156183
"Friday, September 11, 2020",Uninterested Service Rep,Phone Support,Closed with explanation,"Friday, September 18, 2020",TRUE,FALSE,CR1932270,US-2015-159992
"Monday, October 4, 2021",Lack of Follow Up,Phone Support,Closed with explanation,"Friday, October 8, 2021",TRUE,TRUE,CR0214774,US-2015-157885
"Saturday, January 14, 2023",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Friday, January 20, 2023",TRUE,FALSE,CR2135116,US-2015-154175
"Saturday, May 1, 2021",No First Call Resolution,Branch,Closed with explanation,"Sunday, May 2, 2021",TRUE,TRUE,CR0373513,US-2015-156155
"Thursday, June 15, 2023",Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,"Monday, June 19, 2023",TRUE,FALSE,CR1708290,US-2015-155159
"Friday, August 27, 2021",Making Customers Repeat Their Problem,Email,Closed with explanation,"Tuesday, August 31, 2021",TRUE,FALSE,CR1538323,US-2015-159383
"Sunday, November 14, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Wednesday, November 17, 2021",TRUE,TRUE,CR1433236,US-2015-156280
"Thursday, April 1, 2021",Uninterested Service Rep,Phone Support,Closed with monetary relief,"Saturday, April 3, 2021",TRUE,FALSE,CR0853368,US-2015-155473
"Friday, October 20, 2023",Uninterested Service Rep,Mobile App,Closed with explanation,"Thursday, October 26, 2023",TRUE,FALSE,CR1804301,US-2015-156443
"Wednesday, October 14, 2020",No First Call Resolution,Phone Support,Closed with explanation,"Saturday, October 17, 2020",TRUE,FALSE,CR1351216,US-2015-159699
"Tuesday, October 6, 2020",Unavailable or Out of Stock Product,Email,Closed with explanation,"Monday, October 12, 2020",TRUE,,CR2319809,US-2015-153033
"Wednesday, June 22, 2022",Uninterested Service Rep,Mobile App,Closed without relief,"Tuesday, June 28, 2022",TRUE,TRUE,CR0013527,US-2015-160240
"Friday, October 28, 2022",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Saturday, October 29, 2022",TRUE,FALSE,CR1722662,US-2015-153397
"Monday, May 25, 2020",No First Call Resolution,Email,Closed with explanation,"Friday, May 29, 2020",TRUE,FALSE,CR0547876,US-2015-151739
"Sunday, June 6, 2021",Unavailable or Out of Stock Product,Email,Closed with explanation,"Wednesday, June 9, 2021",TRUE,FALSE,CR1615332,US-2015-150755
"Tuesday, January 11, 2022",New Product or Feature Request,Branch,Closed with explanation,"Monday, January 17, 2022",TRUE,FALSE,CR1062228,US-2015-151523
"Sunday, January 30, 2022",Poor Product or Service,Branch,Closed without relief,"Wednesday, February 2, 2022",TRUE,FALSE,CR0043811,US-2015-155403
"Monday, November 6, 2023",No First Call Resolution,Branch,Closed with relief,"Wednesday, November 8, 2023",TRUE,FALSE,CR0030939,US-2015-153065
"Sunday, July 30, 2023",Lack of Follow Up,Email,Closed with relief,"Monday, July 31, 2023",TRUE,FALSE,CR0030070,US-2015-154917
"Saturday, January 30, 2021",Poor Product or Service,Mobile App,Closed with explanation,"Wednesday, February 3, 2021",TRUE,TRUE,CR1936930,US-2015-151306
"Monday, May 31, 2021",Making Customers Repeat Their Problem,Email,Closed with explanation,"Thursday, June 3, 2021",TRUE,FALSE,CR1435238,US-2015-155847
"Sunday, June 6, 2021",Uninterested Service Rep,Phone Support,Closed with explanation,"Saturday, June 12, 2021",TRUE,FALSE,CR1537464,US-2015-151349
"Wednesday, September 23, 2020",Lack of Follow Up,Mobile App,Closed with explanation,"Tuesday, September 29, 2020",TRUE,FALSE,CR1627236,US-2015-157273
"Tuesday, January 10, 2023",Lack of Follow Up,Mobile App,Closed with explanation,"Friday, January 13, 2023",TRUE,FALSE,CR1723447,US-2015-159093
"Saturday, April 29, 2023",New Product or Feature Request,Branch,Closed with relief,"Sunday, April 30, 2023",TRUE,FALSE,CR0034610,US-2015-150684
"Thursday, September 23, 2021",Unavailable or Out of Stock Product,Branch,Closed with explanation,"Saturday, September 25, 2021",TRUE,FALSE,CR1470323,US-2015-159032
"Tuesday, August 18, 2020",Making Customers Repeat Their Problem,Branch,Closed with explanation,"Wednesday, August 19, 2020",TRUE,TRUE,CR1990253,US-2015-151874
"Saturday, May 29, 2021",No First Call Resolution,Phone Support,Closed with explanation,"Friday, June 4, 2021",TRUE,,CR2319723,US-2015-157720
"Sunday, October 31, 2021",New Product or Feature Request,Email,Closed with explanation,"Wednesday, November 3, 2021",TRUE,FALSE,CR1809005,US-2015-154030
"Tuesday, December 15, 2020",No First Call Resolution,Mobile App,Closed with explanation,"Saturday, December 19, 2020",TRUE,FALSE,CR1900945,US-2015-160318
"Saturday, February 8, 2020",Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,"Sunday, February 9, 2020",TRUE,FALSE,CR2136255,US-2015-153976
"Wednesday, January 5, 2022",Poor Product or Service,Email,Closed with explanation,"Wednesday, January 12, 2022",TRUE,FALSE,CR2089964,US-2015-155241
"Tuesday, January 16, 2024",Unavailable or Out of Stock Product,Email,Closed with non-monetary relief,"Monday, January 22, 2024",TRUE,TRUE,CR0394315,US-2015-159627
"Wednesday, October 18, 2023",Poor Product or Service,Branch,Closed with explanation,"Sunday, October 22, 2023",TRUE,FALSE,CR1713275,US-2015-157083
"Wednesday, May 4, 2022",Long wait on hold,Email,Closed with non-monetary relief,"Monday, May 9, 2022",TRUE,FALSE,CR1080256,US-2015-159436
"Thursday, August 17, 2023",Unavailable or Out of Stock Product,Mobile App,Closed with monetary relief,"Saturday, August 19, 2023",TRUE,FALSE,CR0855237,US-2015-152223
"Thursday, December 1, 2022",Unavailable or Out of Stock Product,Mobile App,Closed with explanation,"Tuesday, December 6, 2022",FALSE,,CR0220184,US-2015-158155
"Saturday, August 6, 2022",Unavailable or Out of Stock Product,Phone Support,Closed with explanation,"Wednesday, August 10, 2022",TRUE,FALSE,CR0559272,US-2015-150966
"Monday, April 10, 2023",Making Customers Repeat Their Problem,Phone Support,Closed with explanation,"Sunday, April 16, 2023",TRUE,FALSE,CR2223424,US-2015-154670
"Monday, September 26, 2022",No First Call Resolution,Mobile App,Closed with explanation,"Friday, September 30, 2022",TRUE,FALSE,CR1350626,US-2015-158728
"Tuesday, November 10, 2020",New Product or Feature Request,Mobile App,Closed with relief,"Thursday, November 12, 2020",TRUE,FALSE,CR0035411,US-2015-154644
"Sunday, May 1, 2022",Unavailable or Out of Stock Product,Phone Support,Closed with relief,"Thursday, May 5, 2022",TRUE,FALSE,CR0057298,US-2015-155202
"Monday, December 13, 2021",Long wait on hold,Branch,Closed with monetary relief,"Saturday, December 18, 2021",TRUE,FALSE,CR0222601,US-2015-158880
"Saturday, January 21, 2023",Long wait on hold,Branch,Closed with explanation,"Saturday, January 28, 2023",TRUE,TRUE,CR0221502,US-2015-156217
"Thursday, October 22, 2020",No First Call Resolution,Email,Closed with explanation,"Saturday, October 24, 2020",TRUE,FALSE,CR0922485,US-2015-159009
"Friday, March 5, 2021",Making Customers Repeat Their Problem,Phone Support,Closed with explanation,"Saturday, March 6, 2021",TRUE,TRUE,CR1101885,US-2015-154815
"Monday, November 13, 2023",Uninterested Service Rep,Mobile App,Closed with explanation,"Friday, November 17, 2023",TRUE,FALSE,CR1109288,US-2015-155337
"Thursday, February 20, 2020",Unavailable or Out of Stock Product,Phone Support,Closed,"Thursday, February 27, 2020",TRUE,FALSE,CR1547100,US-2015-156362
"Tuesday, December 26, 2023",Lack of Follow Up,Mobile App,Closed with non-monetary relief,"Monday, January 1, 2024",TRUE,TRUE,CR1452819,US-2015-157606
"Tuesday, July 21, 2020",Uninterested Service Rep,Email,Closed with explanation,"Wednesday, July 22, 2020",TRUE,FALSE,CR1994567,US-2015-153921
"Wednesday, June 28, 2023",Poor Product or Service,Email,Closed with explanation,"Tuesday, July 4, 2023",TRUE,TRUE,CR1507211,US-2015-156300
"Tuesday, March 29, 2022",Long wait on hold,Email,Closed with non-monetary relief,"Monday, April 4, 2022",TRUE,FALSE,CR1757625,US-2015-157459
"Sunday, June 7, 2020",New Product or Feature Request,Branch,Closed with explanation,"Saturday, June 13, 2020",TRUE,FALSE,CR0285804,US-2015-160358
"Friday, December 8, 2023",Unavailable or Out of Stock Product,Email,Closed with explanation,"Wednesday, December 13, 2023",TRUE,FALSE,CR2181276,US-2015-158140
"Sunday, January 29, 2023",No First Call Resolution,Phone Support,Closed with explanation,"Tuesday, January 31, 2023",TRUE,FALSE,CR2111298,US-2015-153650
"Saturday, February 25, 2023",Making Customers Repeat Their Problem,Email,Closed with explanation,"Tuesday, February 28, 2023",TRUE,FALSE,CR1569460,US-2015-155086
"Thursday, September 1, 2022",Lack of Follow Up,Mobile App,Closed with explanation,"Saturday, September 3, 2022",TRUE,TRUE,CR0440370,US-2015-160306
