complaint_id,date_received,resolved_date,order_id,issue_category,channel,company_response,timely_response,consumer_disputed
CR0003732,2021-01-05,2021-01-11,US-2015-159416,Uninterested Service Rep,Phone Support,Closed without relief,TRUE,FALSE
CR1988571,2020-09-17,2020-09-19,US-2015-157867,Long wait on hold,Email,Closed with explanation,TRUE,FALSE
CR2221342,2021-08-07,2021-08-13,US-2015-153289,Lack of Follow Up,Branch,Closed with monetary relief,TRUE,FALSE
CR0013328,2022-07-26,2022-07-31,US-2015-153142,Lack of Follow Up,Branch,Closed without relief,TRUE,FALSE
CR2090579,2023-11-03,2023-11-10,US-2015-155966,Long wait on hold,Email,Closed with explanation,TRUE,FALSE
CR1470490,2022-05-16,2022-05-20,US-2015-151637,Poor Product or Service,Mobile App,Closed with explanation,TRUE,TRUE
CR1899878,2022-11-23,2022-11-25,US-2015-156183,Lack of Follow Up,Branch,Closed with explanation,TRUE,FALSE
CR1932270,2020-09-11,2020-09-18,US-2015-159992,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE
CR0214774,2021-10-04,2021-10-08,US-2015-157885,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,TRUE
CR2135116,2023-01-14,2023-01-20,US-2015-154175,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE
CR0373513,2021-05-01,2021-05-02,US-2015-156155,No First Call Resolution,Branch,Closed with explanation,TRUE,TRUE
CR1708290,2023-06-15,2023-06-19,US-2015-155159,Making Customers Repeat Their Problem,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1538323,2021-08-27,2021-08-31,US-2015-159383,Making Customers Repeat Their Problem,Email,Closed with explanation,TRUE,FALSE
CR1433236,2021-11-14,2021-11-17,US-2015-156280,No First Call Resolution,Phone Support,Closed with explanation,TRUE,TRUE
CR0853368,2021-04-01,2021-04-03,US-2015-155473,Uninterested Service Rep,Phone Support,Closed with monetary relief,TRUE,FALSE
CR1804301,2023-10-20,2023-10-26,US-2015-156443,Uninterested Service Rep,Mobile App,Closed with explanation,TRUE,FALSE
CR1351216,2020-10-14,2020-10-17,US-2015-159699,No First Call Resolution,Phone Support,Closed with explanation,TRUE,FALSE
CR2319809,2020-10-06,2020-10-12,US-2015-153033,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,
CR0013527,2022-06-22,2022-06-28,US-2015-160240,Uninterested Service Rep,Mobile App,Closed without relief,TRUE,TRUE
