order_id,client_id,enquiry_date,order_date,ship_mode,Segment,product_id,Category,sub_category,Sales,Quantity
US-2015-153407,C00000065,2021-07-27,2020-01-01,Standard Class,Corporate,OFF-AR-10003056,Office Supplies,Art,8.56,2
US-2015-156816,C00000386,2020-03-17,2020-01-01,Standard Class,Corporate,OFF-BI-10001982,Office Supplies,Binders,6.528,4
US-2015-159785,C00000372,2020-06-29,2020-01-01,Same Day,Corporate,TEC-MA-10004552,Technology,Machines,1035.8,4
US-2015-152704,C00000060,2023-11-17,2020-01-02,Same Day,Consumer,OFF-BI-10002824,Office Supplies,Binders,13.428,3
US-2015-154483,C00000915,2020-09-29,2020-01-02,Standard Class,Consumer,OFF-AP-10001205,Office Supplies,Appliances,272.4,5
US-2015-155841,C00000382,2023-07-08,2020-01-02,Standard Class,Corporate,TEC-PH-10004071,Technology,Phones,15.984,2
US-2015-157510,C00000143,2022-07-27,2020-01-02,Standard Class,Home Office,FUR-TA-10001039,Furniture,Tables,154.764,3
US-2015-153169,C00000830,2023-06-29,2020-01-03,Same Day,Consumer,OFF-ST-10001172,Office Supplies,Storage,33.568,2
US-2015-153834,C00000759,2022-10-31,2020-01-03,Second Class,Consumer,FUR-CH-10004477,Furniture,Chairs,383.607,9
US-2015-159928,C00000262,2020-01-12,2020-01-03,First Class,Corporate,FUR-FU-10003981,Furniture,Furnishings,4.992,3
US-2015-151392,C00000852,2023-09-06,2020-01-04,Standard Class,Consumer,TEC-MA-10003979,Technology,Machines,4899.93,7
US-2015-154485,C00000557,2021-10-17,2020-01-04,Second Class,Corporate,OFF-AR-10003338,Office Supplies,Art,22.32,3
US-2015-156012,C00001030,2021-05-14,2020-01-04,Standard Class,Corporate,TEC-AC-10000844,Technology,Accessories,339.96,4
US-2015-157046,C00000684,2020-03-03,2020-01-04,Standard Class,Home Office,OFF-AR-10003770,Office Supplies,Art,17.28,6
US-2015-158209,C00000721,2023-06-03,2020-01-04,Second Class,Corporate,OFF-PA-10001363,Office Supplies,Paper,85.96,7
US-2015-158402,C00000100,2020-06-01,2020-01-04,Same Day,Consumer,TEC-AC-10000109,Technology,Accessories,223.96,5
US-2015-159198,C00001016,2022-01-09,2020-01-04,Standard Class,Consumer,OFF-ST-10004950,Office Supplies,Storage,62.94,3
US-2015-159908,C00000212,2021-04-29,2020-01-04,Second Class,Consumer,OFF-SU-10001574,Office Supplies,Supplies,7.3,2
US-2015-152187,C00001050,2022-07-13,2020-01-05,Second Class,Consumer,OFF-BI-10004140,Office Supplies,Binders,14.368,4
US-2015-152625,C00000189,2022-08-19,2020-01-05,Second Class,Corporate,FUR-FU-10001185,Furniture,Furnishings,247.44,8
US-2015-153040,C00001046,2020-04-27,2020-01-05,First Class,Consumer,FUR-FU-10004415,Furniture,Furnishings,8.96,2
US-2015-153713,C00000081,2020-07-17,2020-01-05,Standard Class,Consumer,FUR-CH-10003846,Furniture,Chairs,272.646,3
US-2015-155215,C00000193,2021-09-18,2020-01-05,Second Class,Corporate,FUR-CH-10004477,Furniture,Chairs,182.67,3
US-2015-155730,C00000087,2023-05-30,2020-01-05,Standard Class,Consumer,OFF-BI-10002852,Office Supplies,Binders,49.44,3
US-2015-159985,C00000040,2023-09-01,2020-01-05,Standard Class,Consumer,OFF-ST-10003470,Office Supplies,Storage,1676.88,6
US-2015-150737,C00000767,2023-08-07,2020-01-06,Standard Class,Home Office,FUR-BO-10004015,Furniture,Bookcases,203.983,2
US-2015-151354,C00000211,2022-03-26,2020-01-06,Standard Class,Consumer,OFF-SU-10003505,Office Supplies,Supplies,185.376,2
US-2015-153519,C00000788,2023-10-19,2020-01-06,Standard Class,Consumer,TEC-PH-10001079,Technology,Phones,118.99,1
US-2015-154527,C00000569,2020-12-05,2020-01-06,Standard Class,Consumer,OFF-BI-10003476,Office Supplies,Binders,32.088,7
