date_received,issue_category,channel,company_response,timely_response,consumer_disputed,complaint_id,order_id
01/05/2020,Unavailable or Out of Stock Product,Email,Closed with explanation,TRUE,FALSE,CR1615332,US-2015-157046
01/06/2020,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE,CR1467137,US-2015-151392
01/09/2020,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,TRUE,CR0480573,US-2015-159867
01/10/2020,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,TRUE,CR2166955,US-2015-152918
01/11/2020,Unavailable or Out of Stock Product,Mobile App,Closed with non-monetary relief,TRUE,TRUE,CR0097731,US-2015-158209
01/11/2020,Unavailable or Out of Stock Product,Email,Closed with monetary relief,TRUE,FALSE,CR1813349,US-2015-160457
01/12/2020,Lack of Follow Up,Mobile App,Closed with non-monetary relief,TRUE,TRUE,CR1452819,US-2015-156442
01/12/2020,Unavailable or Out of Stock Product,Phone Support,Closed with explanation,TRUE,FALSE,CR1845683,US-2015-154222
01/13/2020,Lack of Follow Up,Branch,Closed with explanation,TRUE,TRUE,CR0705878,US-2015-158781
01/14/2020,Long wait on hold,Email,Closed with relief,TRUE,FALSE,CR2395319,US-2015-159720
01/19/2020,Uninterested Service Rep,Phone Support,Closed with monetary relief,TRUE,FALSE,CR2228854,US-2015-155789
01/20/2020,No First Call Resolution,Branch,Closed with monetary relief,TRUE,FALSE,CR1007303,US-2015-152418
01/20/2020,New Product or Feature Request,Email,Closed with explanation,TRUE,FALSE,CR1849018,US-2015-158797
01/21/2020,Lack of Follow Up,Mobile App,In-Progress,FALSE,FALSE,CR1528299,US-2015-153420
01/21/2020,New Product or Feature Request,Email,Closed with non-monetary relief,TRUE,FALSE,CR2394492,US-2015-151429
01/21/2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,FALSE,CR1772134,US-2015-159330
01/21/2020,Unavailable or Out of Stock Product,Branch,Closed with explanation,TRUE,FALSE,CR1979353,US-2015-158797
01/23/2020,New Product or Feature Request,Email,Closed with monetary relief,TRUE,FALSE,CR1282520,US-2015-150944
01/28/2020,Lack of Follow Up,Branch,Closed with monetary relief,TRUE,FALSE,CR2053433,US-2015-154035
02/02/2020,New Product or Feature Request,Mobile App,Closed with explanation,TRUE,TRUE,CR1516691,US-2015-159671
02/04/2020,Uninterested Service Rep,Branch,In-Progress,FALSE,FALSE,CR2149200,US-2015-150921
02/04/2020,Making Customers Repeat Their Problem,Mobile App,Closed with explanation,TRUE,FALSE,CR2011299,US-2015-153089
02/05/2020,No First Call Resolution,Mobile App,Closed with non-monetary relief,TRUE,FALSE,CR2106749,US-2015-157093
02/08/2020,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,FALSE,CR0500647,US-2015-151350
02/15/2020,Unavailable or Out of Stock Product,Mobile App,Closed with explanation,TRUE,TRUE,CR1706813,US-2015-152767
02/16/2020,Lack of Follow Up,Branch,Closed with relief,TRUE,TRUE,CR0027693,US-2015-157414
02/18/2020,No First Call Resolution,Branch,Closed with explanation,TRUE,FALSE,CR2004264,US-2015-153338
02/20/2020,Lack of Follow Up,Phone Support,Closed with explanation,TRUE,FALSE,CR2119080,US-2015-157169
02/23/2020,Uninterested Service Rep,Phone Support,Closed with explanation,TRUE,FALSE,CR1741538,US-2015-151073
02/25/2020,Making Customers Repeat Their Problem,Email,Closed with explanation,TRUE,TRUE,CR1967343,US-2015-159189
02/27/2020,Making Customers Repeat Their Problem,Email,Closed with monetary relief,TRUE,FALSE,CR0404275,US-2015-158952
02/28/2020,Making Customers Repeat Their Problem,Mobile App,Closed with monetary relief,TRUE,FALSE,CR2136255,US-2015-150831
02/28/2020,No First Call Resolution,Email,Closed with explanation,TRUE,FALSE,CR1943347,US-2015-159838
