order_id,client_id,enquiry_date,order_date,ship_mode,segment,product_id,category_id,product_name,sales,quantity,profit
US-2015-153407,C00000065,2021-07-27,2020-01-01,Standard Class,Corporate,OFF-AR-10003056,OA2,Newell 341,8.56,2,2.4824
US-2015-156816,C00000386,2020-03-17,2020-01-01,Standard Class,Corporate,OFF-BI-10001982,OB7,Wilson Jones Custom Binde,6.528,4,-4.5696
US-2015-159785,C00000372,2020-06-29,2020-01-01,Same Day,Corporate,TEC-MA-10004552,TM17,Star Micronics TSP100 TSP,1035.8,4,269.308
US-2015-152704,C00000060,2023-11-17,2020-01-02,Same Day,Consumer,OFF-BI-10002824,OB7,Recycled Easel Ring Binde,13.428,3,-11.19
US-2015-154483,C00000915,2020-09-29,2020-01-02,Standard Class,Consumer,OFF-AP-10001205,OA12,Belkin 5 Outlet SurgeMast,272.4,5,76.272
US-2015-155841,C00000382,2023-07-08,2020-01-02,Standard Class,Corporate,TEC-PH-10004071,TP8,PayAnywhere Card Reader,15.984,2,1.3986
US-2015-157510,C00000143,2022-07-27,2020-01-02,Standard Class,Home Office,FUR-TA-10001039,FT6,KI AdjustableHeight Table,154.764,3,-36.1116
US-2015-153169,C00000830,2023-06-29,2020-01-03,Same Day,Consumer,OFF-ST-10001172,OS3,Tennsco Lockers Sand,33.568,2,1.6784
US-2015-153834,C00000759,2022-10-31,2020-01-03,Second Class,Consumer,FUR-CH-10004477,FC5,Global Push Button Manage,383.607,9,-5.4801
US-2015-159928,C00000262,2020-01-12,2020-01-03,First Class,Corporate,FUR-FU-10003981,FF9,Eldon Wave Desk Accessori,4.992,3,1.3728
US-2015-151392,C00000852,2023-09-06,2020-01-04,Standard Class,Consumer,TEC-MA-10003979,TM17,Ativa V4110MDD MicroCut S,4899.93,7,2400.9657
US-2015-154485,C00000557,2021-10-17,2020-01-04,Second Class,Corporate,OFF-AR-10003338,OA2,Eberhard Faber 3 12inch G,22.32,3,5.58
US-2015-156012,C00001030,2021-05-14,2020-01-04,Standard Class,Corporate,TEC-AC-10000844,TA13,Logitech Gaming G510s  Ke,339.96,4,122.3856
US-2015-157046,C00000684,2020-03-03,2020-01-04,Standard Class,Home Office,OFF-AR-10003770,OA2,Newell 340,17.28,6,5.0112
US-2015-158209,C00000721,2023-06-03,2020-01-04,Second Class,Corporate,OFF-PA-10001363,OP4,ero 1933,85.96,7,40.4012
US-2015-158402,C00000100,2020-06-01,2020-01-04,Same Day,Consumer,TEC-AC-10000109,TA13,Sony Micro Vault Click 16,223.96,5,11.198
US-2015-159198,C00001016,2022-01-09,2020-01-04,Standard Class,Consumer,OFF-ST-10004950,OS3,Acco Perma 3000 Stacking ,62.94,3,11.9586
US-2015-159908,C00000212,2021-04-29,2020-01-04,Second Class,Consumer,OFF-SU-10001574,OS15,Acme Value Line Scissors,7.3,2,2.19
US-2015-152187,C00001050,2022-07-13,2020-01-05,Second Class,Consumer,OFF-BI-10004140,OB7,Avery NonStick Binders,14.368,4,4.49
US-2015-152625,C00000189,2022-08-19,2020-01-05,Second Class,Corporate,FUR-FU-10001185,FF9,Advantus Employee of the ,247.44,8,101.4504
US-2015-153040,C00001046,2020-04-27,2020-01-05,First Class,Consumer,FUR-FU-10004415,FF9,Stacking Tray SideLoading,8.96,2,2.7776
US-2015-153713,C00000081,2020-07-17,2020-01-05,Standard Class,Consumer,FUR-CH-10003846,FC5,Hon Valutask Swivel Chair,272.646,3,18.1764
US-2015-155215,C00000193,2021-09-18,2020-01-05,Second Class,Corporate,FUR-CH-10004477,FC5,Global Push Button Manage,182.67,3,52.9743
US-2015-155730,C00000087,2023-05-30,2020-01-05,Standard Class,Consumer,OFF-BI-10002852,OB7,Ibico Standard Transparen,49.44,3,24.2256
US-2015-159985,C00000040,2023-09-01,2020-01-05,Standard Class,Consumer,OFF-ST-10003470,OS3,Tennsco SnapTogether Open,1676.88,6,83.844
US-2015-150737,C00000767,2023-08-07,2020-01-06,Standard Class,Home Office,FUR-BO-10004015,FB10,Bush Andora Bookcase Mapl,203.983,2,16.7986
US-2015-151354,C00000211,2022-03-26,2020-01-06,Standard Class,Consumer,OFF-SU-10003505,OS15,Premier Electric Letter O,185.376,2,-34.758
US-2015-153519,C00000788,2023-10-19,2020-01-06,Standard Class,Consumer,TEC-PH-10001079,TP8,Polycom SoundPoint Pro SE,118.99,1,33.3172
US-2015-154527,C00000569,2020-12-05,2020-01-06,Standard Class,Consumer,OFF-BI-10003476,OB7,Avery Metallic Poly Binde,32.088,7,11.2308
US-2015-156238,C00000791,2021-09-11,2020-01-06,Standard Class,Consumer,TEC-MA-10004626,TM17,Lemark 20R1285 6650 Wirel,480,4,225.6
US-2015-158600,C00000290,2023-08-02,2020-01-06,Standard Class,Corporate,OFF-AR-10000940,OA2,Newell 343,16.464,7,1.4406
US-2015-158716,C00000351,2022-09-16,2020-01-06,Standard Class,Home Office,TEC-PH-10004447,TP8,Toshiba IPT2010SD IP Tele,222.384,2,16.6788
US-2015-159314,C00000147,2021-01-24,2020-01-06,Standard Class,Consumer,FUR-CH-10002961,FC5,Leather Task Chair Black,363.92,5,0
US-2015-159325,C00000103,2021-08-03,2020-01-06,Same Day,Home Office,OFF-BI-10004040,OB7,Wilson Jones Impact Binde,4.144,4,-6.4232
US-2015-159867,C00000833,2020-10-03,2020-01-06,Standard Class,Home Office,OFF-PA-10004609,OP4,ero 221,6.48,1,3.1104
US-2015-160457,C00000918,2021-10-06,2020-01-06,First Class,Consumer,OFF-BI-10002026,OB7,Avery Arch Ring Binders,17.43,1,-13.363
US-2015-160458,C00000316,2022-05-26,2020-01-06,First Class,Consumer,FUR-CH-10003846,FC5,Hon Valutask Swivel Chair,161.568,2,-8.0784
US-2015-151577,C00000897,2020-01-06,2020-01-07,Standard Class,Corporate,OFF-PA-10001950,OP4,Southworth 25perc Cotton ,20.016,3,6.255
US-2015-152918,C00000424,2023-12-04,2020-01-07,Standard Class,Corporate,OFF-SU-10004261,OS15,Fiskars 8inch Scissors 2P,41.376,3,4.6548
US-2015-155834,C00000827,2022-05-02,2020-01-07,Second Class,Consumer,FUR-FU-10003919,FF9,Eldon Eecutive Woodline I,32.712,2,-26.1696
US-2015-159100,C00000787,2022-08-23,2020-01-07,Standard Class,Corporate,OFF-AR-10001860,OA2,BIC Liqua Brite Liner,34.7,5,12.492
US-2015-159935,C00000217,2022-10-03,2020-01-07,Standard Class,Consumer,OFF-AP-10004708,OA12,Fellowes Superior 10 Outl,15.224,2,-38.8212
US-2015-150703,C00000003,2020-06-03,2020-01-08,Standard Class,Consumer,OFF-PA-10000726,OP4,Black Print Carbonless Sn,9.11,1,4.0995
US-2015-151541,C00000716,2023-09-23,2020-01-08,First Class,Home Office,OFF-PA-10004071,OP4,Eaton Premium ContinuousF,55.48,1,26.6304
US-2015-152169,C00000721,2022-04-26,2020-01-08,First Class,Consumer,FUR-TA-10001768,FT6,Hon Racetrack Conference ,210.008,1,2.6251
US-2015-154914,C00000128,2020-12-04,2020-01-08,First Class,Home Office,TEC-AC-10003657,TA13,Lenovo 17Key USB Numeric ,54.384,2,1.3596
US-2015-156011,C00000326,2023-04-30,2020-01-08,Standard Class,Consumer,OFF-FA-10000053,OF11,Revere Boed Rubber Bands ,5.67,3,0.1134
US-2015-156947,C00000243,2022-01-05,2020-01-08,Standard Class,Consumer,FUR-CH-10001714,FC5,Global Leather and Oak Ee,211.246,2,-66.3916
US-2015-157216,C00000103,2023-12-25,2020-01-08,First Class,Consumer,TEC-AC-10001109,TA13,Logitech Trackman Marble ,71.976,3,19.7934
US-2015-159136,C00000162,2020-02-06,2020-01-08,Second Class,Home Office,OFF-PA-10000357,OP4,ero 1888,166.44,3,79.8912
US-2015-159576,C00000888,2021-10-24,2020-01-08,Second Class,Corporate,FUR-FU-10002253,FF9,Howard Miller 13inch Diam,257.64,6,100.4796
US-2015-159579,C00000692,2023-04-25,2020-01-08,Same Day,Home Office,TEC-PH-10000702,TP8,Square Credit Card Reader,7.992,1,2.6973
US-2015-154002,C00000238,2020-12-22,2020-01-09,First Class,Home Office,OFF-ST-10001370,OS3,Sensible Storage WireTech,70.98,1,3.549
US-2015-157401,C00000146,2022-10-14,2020-01-09,First Class,Consumer,FUR-CH-10004675,FC5,Lifetime Advantage Foldin,763.28,5,-21.808
US-2015-160354,C00000454,2020-06-25,2020-01-09,Standard Class,Corporate,FUR-CH-10002880,FC5,Global HighBack Leather T,221.382,2,2.4598
US-2015-160472,C00000331,2022-07-21,2020-01-09,Standard Class,Consumer,TEC-AC-10004396,TA13,Logitech Keyboard K120,72.6,5,-8.1675
US-2015-151496,C00000757,2022-05-25,2020-01-10,Standard Class,Consumer,OFF-PA-10002615,OP4,Ampad Gold Fibre Wireboun,30.87,7,14.2002
US-2015-153370,C00000508,2022-05-19,2020-01-10,Standard Class,Consumer,OFF-AR-10003045,OA2,Prang Colored Pencils,14.7,5,6.615
US-2015-153562,C00000010,2021-10-09,2020-01-10,Second Class,Consumer,OFF-ST-10000760,OS3,Eldon Fold N Roll Cart Sy,153.78,11,44.5962
US-2015-153595,C00000483,2020-03-21,2020-01-10,Standard Class,Corporate,TEC-PH-10003645,TP8,Aastra 57i VoIP phone,258.576,2,19.3932
US-2015-154222,C00000995,2023-08-15,2020-01-10,First Class,Home Office,OFF-PA-10003465,OP4,ero 1912,37.94,2,18.2112
US-2015-155271,C00001000,2020-11-14,2020-01-10,Standard Class,Home Office,OFF-BI-10004308,OB7,Avery Legal 4Ring Binder,67.136,4,25.176
US-2015-156232,C00000251,2023-02-28,2020-01-10,First Class,Home Office,FUR-CH-10002304,FC5,Global Stack Chair withou,127.302,7,-9.093
US-2015-156442,C00000456,2021-08-05,2020-01-10,Second Class,Home Office,OFF-AR-10003056,OA2,Newell 341,17.12,4,4.9648
US-2015-157444,C00000442,2021-05-19,2020-01-10,Standard Class,Consumer,OFF-ST-10000563,OS3,Fellowes Bankers Bo StorD,191.88,6,19.188
US-2015-158781,C00000683,2021-11-11,2020-01-10,First Class,Home Office,TEC-PH-10003589,TP8,invisibleSHIELD by ZAGG S,43.176,3,15.1116
US-2015-160162,C00000942,2022-07-31,2020-01-10,Second Class,Consumer,OFF-AR-10003903,OA2,Sanford 52201 APSCO Elect,204.85,5,53.261
US-2015-152534,C00000420,2021-09-08,2020-01-11,Second Class,Consumer,FUR-BO-10002268,FB10,Sauder Barrister Bookcase,145.764,6,-247.7988
US-2015-153930,C00000184,2021-07-04,2020-01-11,First Class,Consumer,OFF-AP-10004655,OA12,Holmes Visible Mist Ultra,45.28,4,15.3952
US-2015-155085,C00000036,2023-12-16,2020-01-11,Standard Class,Consumer,TEC-AC-10002335,TA13,Logitech Media Keyboard K,83.976,3,-1.0497
US-2015-155330,C00000826,2023-01-13,2020-01-11,Second Class,Consumer,OFF-BI-10004236,OB7,traLife ClearVue SlantD R,58.72,4,27.0112
US-2015-156231,C00000880,2020-08-27,2020-01-11,Standard Class,Corporate,FUR-FU-10001979,FF9,Dana Halogen SwingArm Arc,122.91,3,34.4148
US-2015-157646,C00000727,2020-08-11,2020-01-11,Second Class,Consumer,OFF-BI-10001634,OB7,Wilson Jones Active Use B,11.648,2,4.2224
US-2015-155789,C00000589,2022-06-10,2020-01-12,Standard Class,Corporate,OFF-PA-10001497,OP4,ero 1914,131.904,3,47.8152
US-2015-157599,C00000166,2024-01-03,2020-01-12,Standard Class,Corporate,TEC-AC-10001114,TA13,Microsoft Wireless Mobile,159.96,4,51.1872
US-2015-159070,C00000827,2021-09-08,2020-01-12,Same Day,Consumer,FUR-FU-10003553,FF9,Howard Miller 1312inch Di,165.048,3,41.262
US-2015-151795,C00001012,2023-10-10,2020-01-13,Standard Class,Consumer,OFF-BI-10002432,OB7,Wilson Jones Standard DRi,4.554,3,-3.4914
US-2015-152266,C00000980,2022-07-28,2020-01-13,Standard Class,Corporate,FUR-BO-10003441,FB10,Bush Westfield Collection,205.9992,3,-27.2646
US-2015-154211,C00000008,2023-03-04,2020-01-13,Standard Class,Home Office,TEC-AC-10002842,TA13,WD My Passport Ultra 2TB ,666.4,7,-33.32
US-2015-157644,C00000185,2023-11-11,2020-01-13,Standard Class,Consumer,OFF-PA-10001937,OP4,ero 21,36.288,7,12.7008
US-2015-159593,C00000108,2023-03-09,2020-01-13,Standard Class,Consumer,OFF-BI-10003719,OB7,Large Capacity Hanging Po,39.92,2,12.974
US-2015-159720,C00000262,2021-05-28,2020-01-13,Second Class,Consumer,OFF-BI-10001510,OB7,Delue HeavyDuty Vinyl Rou,36.672,2,11.46
US-2015-159913,C00000395,2023-05-17,2020-01-13,Standard Class,Consumer,OFF-BI-10001107,OB7,GBC White Gloss Covers Pl,2.896,1,-4.7784
US-2015-160248,C00000760,2022-02-05,2020-01-13,Second Class,Consumer,OFF-AR-10003514,OA2,4009 Highlighters by Sanf,27.86,7,9.1938
US-2015-152500,C00001042,2022-10-21,2020-01-14,Standard Class,Consumer,FUR-TA-10004607,FT6,Hon 2111 Invitation Serie,310.443,3,-48.7839
US-2015-152971,C00000593,2021-05-30,2020-01-14,Standard Class,Corporate,OFF-BI-10004817,OB7,GBC Personal VeloBind Str,9.584,1,3.3544
US-2015-154074,C00000813,2022-09-16,2020-01-14,Standard Class,Consumer,OFF-PA-10002246,OP4,Wirebound Four 234  5 For,15.48,3,5.6115
US-2015-154188,C00000223,2023-01-15,2020-01-14,Standard Class,Consumer,OFF-BI-10003274,OB7,Avery Durable Slant Ring ,1.592,2,-2.6268
US-2015-155473,C00000685,2021-03-21,2020-01-14,Second Class,Consumer,OFF-PA-10004971,OP4,ero 196,17.34,3,8.4966
US-2015-158749,C00000842,2023-11-29,2020-01-14,Standard Class,Consumer,OFF-EN-10002312,OE16,#10 SelfSeal White Envelo,11.09,1,5.4341
US-2015-153915,C00000712,2020-06-01,2020-01-15,Standard Class,Consumer,OFF-ST-10000636,OS3,Rogers Profile Etra Capac,83.7,5,3.348
US-2015-154572,C00000342,2022-11-11,2020-01-15,Standard Class,Corporate,TEC-AC-10001267,TA13,Imation 32GB Pocket Pro U,59.9,2,23.96
US-2015-154836,C00000470,2021-04-10,2020-01-15,First Class,Consumer,OFF-LA-10003766,OL14,SelfAdhesive Removable La,9.45,3,4.536
US-2015-157045,C00000677,2020-05-08,2020-01-15,First Class,Corporate,OFF-PA-10002713,OP4,Adams Phone Message Book ,13.76,2,6.3296
US-2015-153450,C00000082,2022-11-24,2020-01-16,Second Class,Consumer,TEC-AC-10002550,TA13,Memore 25GB 6 Branded Blu,159.75,5,11.1825
